id,source_image,source_category,crop_left,crop_top,crop_right,crop_bottom,image_label,object_count
X光图片20260804_000001,X光图片20260804/未标注/多余物/多余物 (1).jpg,多余物,0,0,1004,620,缺陷,1
X光图片20260804_000002,X光图片20260804/未标注/多余物/多余物 (2).jpg,多余物,0,0,1004,620,缺陷,1
X光图片20260804_000003,X光图片20260804/未标注/多余物/多余物 (3).jpg,多余物,0,0,1004,620,缺陷,2
X光图片20260804_000004,X光图片20260804/未标注/多余物/多余物 (4).jpg,多余物,0,0,1004,620,缺陷,3
X光图片20260804_000005,X光图片20260804/未标注/多余物/多余物 (5).jpg,多余物,0,0,1004,620,缺陷,1
X光图片20260804_000006,X光图片20260804/未标注/焊点少锡/焊点少锡 (1).jpg,焊点少锡,0,0,1024,1024,缺陷,1
X光图片20260804_000007,X光图片20260804/未标注/焊点少锡/焊点少锡 (1).jpg,焊点少锡,1024,0,2048,1024,无,0
X光图片20260804_000008,X光图片20260804/未标注/焊点少锡/焊点少锡 (1).jpg,焊点少锡,2048,0,2403,1024,无,0
X光图片20260804_000009,X光图片20260804/未标注/焊点少锡/焊点少锡 (1).jpg,焊点少锡,0,1024,1024,1798,缺陷,1
X光图片20260804_000010,X光图片20260804/未标注/焊点少锡/焊点少锡 (1).jpg,焊点少锡,1024,1024,2048,1798,无,0
X光图片20260804_000011,X光图片20260804/未标注/焊点少锡/焊点少锡 (1).jpg,焊点少锡,2048,1024,2403,1798,无,0
X光图片20260804_000012,X光图片20260804/未标注/焊点少锡/焊点少锡 (2).jpg,焊点少锡,0,0,1004,620,缺陷,1
X光图片20260804_000013,X光图片20260804/未标注/焊点少锡/焊点少锡 (3).jpg,焊点少锡,0,0,1024,1144,无,0
X光图片20260804_000014,X光图片20260804/未标注/焊点少锡/焊点少锡 (3).jpg,焊点少锡,1024,0,2048,1144,缺陷,2
X光图片20260804_000015,X光图片20260804/未标注/焊点少锡/焊点少锡 (3).jpg,焊点少锡,2048,0,2398,1144,无,0
X光图片20260804_000016,X光图片20260804/未标注/焊点少锡/焊点少锡 (3).jpg,焊点少锡,0,1144,1024,1801,无,0
X光图片20260804_000017,X光图片20260804/未标注/焊点少锡/焊点少锡 (3).jpg,焊点少锡,1024,1144,2048,1801,无,0
X光图片20260804_000018,X光图片20260804/未标注/焊点少锡/焊点少锡 (3).jpg,焊点少锡,2048,1144,2398,1801,无,0
X光图片20260804_000019,X光图片20260804/未标注/焊点少锡/焊点少锡 (4).jpg,焊点少锡,0,0,1024,1024,无,0
X光图片20260804_000020,X光图片20260804/未标注/焊点少锡/焊点少锡 (4).jpg,焊点少锡,1024,0,2048,1024,无,0
X光图片20260804_000021,X光图片20260804/未标注/焊点少锡/焊点少锡 (4).jpg,焊点少锡,2048,0,2420,1024,无,0
X光图片20260804_000022,X光图片20260804/未标注/焊点少锡/焊点少锡 (4).jpg,焊点少锡,0,1024,1024,1803,缺陷,1
X光图片20260804_000023,X光图片20260804/未标注/焊点少锡/焊点少锡 (4).jpg,焊点少锡,1024,1024,2048,1803,无,0
X光图片20260804_000024,X光图片20260804/未标注/焊点少锡/焊点少锡 (4).jpg,焊点少锡,2048,1024,2420,1803,无,0
X光图片20260804_000025,X光图片20260804/未标注/焊点少锡/焊点少锡 (5).jpg,焊点少锡,0,0,1024,1024,无,0
X光图片20260804_000026,X光图片20260804/未标注/焊点少锡/焊点少锡 (5).jpg,焊点少锡,1024,0,2048,1024,无,0
X光图片20260804_000027,X光图片20260804/未标注/焊点少锡/焊点少锡 (5).jpg,焊点少锡,2048,0,2403,1024,无,0
X光图片20260804_000028,X光图片20260804/未标注/焊点少锡/焊点少锡 (5).jpg,焊点少锡,0,1024,1024,1798,缺陷,1
X光图片20260804_000029,X光图片20260804/未标注/焊点少锡/焊点少锡 (5).jpg,焊点少锡,1024,1024,2048,1798,无,0
X光图片20260804_000030,X光图片20260804/未标注/焊点少锡/焊点少锡 (5).jpg,焊点少锡,2048,1024,2403,1798,无,0
X光图片20260804_000031,X光图片20260804/未标注/焊点少锡/焊点少锡 (6).jpg,焊点少锡,0,0,1024,1024,无,0
X光图片20260804_000032,X光图片20260804/未标注/焊点少锡/焊点少锡 (6).jpg,焊点少锡,1024,0,2048,1024,无,0
X光图片20260804_000033,X光图片20260804/未标注/焊点少锡/焊点少锡 (6).jpg,焊点少锡,2048,0,2401,1024,无,0
X光图片20260804_000034,X光图片20260804/未标注/焊点少锡/焊点少锡 (6).jpg,焊点少锡,0,1024,1024,1789,缺陷,1
X光图片20260804_000035,X光图片20260804/未标注/焊点少锡/焊点少锡 (6).jpg,焊点少锡,1024,1024,2048,1789,无,0
