split,label,patch_path,source_path,crop
train,bridge,E:\Xray\Xray\pcb_xray_annotation_workspace\bridge_roi_dataset\train\bridge\bridge_0006_b00_s0_j0.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\bridge\bridge_0006.jpg,"(57, 407, 398, 748)"
train,bridge,E:\Xray\Xray\pcb_xray_annotation_workspace\bridge_roi_dataset\train\bridge\bridge_0006_b00_s0_j1.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\bridge\bridge_0006.jpg,"(16, 407, 357, 748)"
train,bridge,E:\Xray\Xray\pcb_xray_annotation_workspace\bridge_roi_dataset\train\bridge\bridge_0006_b00_s0_j2.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\bridge\bridge_0006.jpg,"(98, 407, 439, 748)"
train,bridge,E:\Xray\Xray\pcb_xray_annotation_workspace\bridge_roi_dataset\train\bridge\bridge_0006_b00_s0_j3.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\bridge\bridge_0006.jpg,"(57, 367, 398, 708)"
train,bridge,E:\Xray\Xray\pcb_xray_annotation_workspace\bridge_roi_dataset\train\bridge\bridge_0006_b00_s0_j4.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\bridge\bridge_0006.jpg,"(57, 448, 398, 789)"
train,bridge,E:\Xray\Xray\pcb_xray_annotation_workspace\bridge_roi_dataset\train\bridge\bridge_0006_b00_s1_j0.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\bridge\bridge_0006.jpg,"(0, 350, 455, 805)"
train,bridge,E:\Xray\Xray\pcb_xray_annotation_workspace\bridge_roi_dataset\train\bridge\bridge_0006_b00_s1_j1.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\bridge\bridge_0006.jpg,"(0, 350, 455, 805)"
train,bridge,E:\Xray\Xray\pcb_xray_annotation_workspace\bridge_roi_dataset\train\bridge\bridge_0006_b00_s1_j2.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\bridge\bridge_0006.jpg,"(55, 350, 510, 805)"
train,bridge,E:\Xray\Xray\pcb_xray_annotation_workspace\bridge_roi_dataset\train\bridge\bridge_0006_b00_s1_j3.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\bridge\bridge_0006.jpg,"(0, 296, 455, 751)"
train,bridge,E:\Xray\Xray\pcb_xray_annotation_workspace\bridge_roi_dataset\train\bridge\bridge_0006_b00_s1_j4.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\bridge\bridge_0006.jpg,"(0, 405, 455, 860)"
