epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.544,0.59524,0.66418,1,0.62092,0.000544981,0.000544981,0.000544981
2,20.9988,0.57615,0.72948,1,0.58059,0.00108703,0.00108703,0.00108703
3,28.9835,0.56619,0.66418,1,0.69689,0.00161532,0.00161532,0.00161532
4,36.9458,0.53738,0.66418,1,0.59091,0.00160511,0.00160511,0.00160511
5,44.9045,0.5058,0.61194,1,0.92497,0.00158448,0.00158448,0.00158448
6,52.8662,0.50661,0.70522,1,0.78923,0.00156385,0.00156385,0.00156385
7,60.8474,0.45168,0.62873,1,0.83178,0.00154323,0.00154323,0.00154323
8,68.8292,0.44844,0.65858,1,0.97645,0.0015226,0.0015226,0.0015226
9,76.8187,0.44106,0.71082,1,0.55967,0.00150197,0.00150197,0.00150197
10,84.7987,0.4558,0.75933,1,0.56283,0.00148134,0.00148134,0.00148134
11,92.7724,0.41096,0.6959,1,0.62622,0.00146071,0.00146071,0.00146071
12,100.752,0.41437,0.61381,1,0.70749,0.00144008,0.00144008,0.00144008
13,108.754,0.3939,0.72201,1,0.76144,0.00141945,0.00141945,0.00141945
14,116.709,0.36225,0.71269,1,0.80418,0.00139882,0.00139882,0.00139882
15,124.683,0.34987,0.57836,1,0.71096,0.00137819,0.00137819,0.00137819
16,132.667,0.37781,0.67537,1,0.76529,0.00135756,0.00135756,0.00135756
17,140.64,0.34294,0.65299,1,0.76218,0.00133693,0.00133693,0.00133693
18,148.638,0.33885,0.70336,1,0.62753,0.0013163,0.0013163,0.0013163
19,156.642,0.33117,0.66604,1,0.75597,0.00129568,0.00129568,0.00129568
20,164.665,0.32553,0.71828,1,0.604,0.00127505,0.00127505,0.00127505
21,172.69,0.32722,0.70896,1,0.6719,0.00125442,0.00125442,0.00125442
22,180.752,0.2964,0.73507,1,0.5614,0.00123379,0.00123379,0.00123379
23,188.773,0.30898,0.63993,1,0.76571,0.00121316,0.00121316,0.00121316
24,196.764,0.31397,0.73134,1,0.65724,0.00119253,0.00119253,0.00119253
25,204.732,0.34936,0.72388,1,0.55998,0.0011719,0.0011719,0.0011719
26,212.716,0.32314,0.68284,1,1.1166,0.00115127,0.00115127,0.00115127
27,220.663,0.29681,0.78545,1,0.60441,0.00113064,0.00113064,0.00113064
28,228.651,0.26711,0.65858,1,0.65084,0.00111001,0.00111001,0.00111001
29,236.653,0.25193,0.66418,1,1.58431,0.00108938,0.00108938,0.00108938
30,244.614,0.26844,0.75373,1,0.51527,0.00106876,0.00106876,0.00106876
31,252.599,0.25377,0.66045,1,1.53604,0.00104813,0.00104813,0.00104813
32,260.582,0.24548,0.8041,1,0.44179,0.0010275,0.0010275,0.0010275
33,268.56,0.22513,0.84515,1,0.37999,0.00100687,0.00100687,0.00100687
34,287.116,0.23554,0.78918,1,0.49492,0.000986239,0.000986239,0.000986239
35,295.118,0.24104,0.66418,1,1.95229,0.00096561,0.00096561,0.00096561
36,303.111,0.27857,0.66418,1,0.72948,0.000944981,0.000944981,0.000944981
37,311.133,0.23051,0.73881,1,0.90534,0.000924352,0.000924352,0.000924352
38,319.122,0.19887,0.84142,1,0.40414,0.000903722,0.000903722,0.000903722
39,327.132,0.20401,0.81716,1,0.49253,0.000883093,0.000883093,0.000883093
40,335.119,0.18085,0.85261,1,0.53248,0.000862464,0.000862464,0.000862464
41,343.149,0.19651,0.77239,1,0.4755,0.000841835,0.000841835,0.000841835
42,395.785,0.20882,0.8209,1,0.43863,0.000821206,0.000821206,0.000821206
43,403.105,0.20872,0.74813,1,0.70728,0.000800577,0.000800577,0.000800577
44,410.423,0.18463,0.88619,1,0.33991,0.000779948,0.000779948,0.000779948
45,417.736,0.18706,0.81716,1,0.428,0.000759318,0.000759318,0.000759318
46,425.04,0.17979,0.8041,1,0.59519,0.000738689,0.000738689,0.000738689
47,432.377,0.15329,0.84515,1,0.39741,0.00071806,0.00071806,0.00071806
48,439.712,0.15198,0.78172,1,0.58499,0.000697431,0.000697431,0.000697431
49,447.031,0.13193,0.76306,1,0.89791,0.000676802,0.000676802,0.000676802
50,454.342,0.16498,0.85821,1,0.36506,0.000656173,0.000656173,0.000656173
51,461.652,0.14952,0.83769,1,0.46489,0.000635544,0.000635544,0.000635544
52,468.969,0.13435,0.80224,1,0.58617,0.000614915,0.000614915,0.000614915
53,476.309,0.18383,0.77985,1,0.77603,0.000594286,0.000594286,0.000594286
54,483.649,0.16453,0.80224,1,0.41356,0.000573656,0.000573656,0.000573656
55,490.96,0.14535,0.86194,1,0.44961,0.000553027,0.000553027,0.000553027
56,498.267,0.14464,0.86007,1,0.35004,0.000532398,0.000532398,0.000532398
57,505.602,0.12415,0.78358,1,0.68293,0.000511769,0.000511769,0.000511769
58,525.914,0.12244,0.81716,1,0.78057,0.00049114,0.00049114,0.00049114
59,537.36,0.13376,0.84142,1,0.45318,0.000470511,0.000470511,0.000470511
60,544.701,0.11733,0.74067,1,1.03361,0.000449882,0.000449882,0.000449882
61,552.012,0.13035,0.83396,1,0.66941,0.000429253,0.000429253,0.000429253
62,559.344,0.08971,0.86007,1,0.31813,0.000408623,0.000408623,0.000408623
63,566.577,0.10885,0.83022,1,0.67452,0.000387994,0.000387994,0.000387994
64,573.506,0.11509,0.86007,1,0.37754,0.000367365,0.000367365,0.000367365
