split,label,patch_path,source_path,crop
train,insufficient_through_solder,E:\Xray\Xray\pcb_xray_annotation_workspace\insufficient_through_solder_roi_dataset\train\insufficient_through_solder\insufficient_through_solder_0068_b00_s0_j0.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\insufficient_through_solder\insufficient_through_solder_0068.jpg,"(89, 1002, 533, 1446)"
train,insufficient_through_solder,E:\Xray\Xray\pcb_xray_annotation_workspace\insufficient_through_solder_roi_dataset\train\insufficient_through_solder\insufficient_through_solder_0068_b00_s0_j1.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\insufficient_through_solder\insufficient_through_solder_0068.jpg,"(36, 1002, 480, 1446)"
train,insufficient_through_solder,E:\Xray\Xray\pcb_xray_annotation_workspace\insufficient_through_solder_roi_dataset\train\insufficient_through_solder\insufficient_through_solder_0068_b00_s0_j2.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\insufficient_through_solder\insufficient_through_solder_0068.jpg,"(142, 1002, 586, 1446)"
train,insufficient_through_solder,E:\Xray\Xray\pcb_xray_annotation_workspace\insufficient_through_solder_roi_dataset\train\insufficient_through_solder\insufficient_through_solder_0068_b00_s0_j3.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\insufficient_through_solder\insufficient_through_solder_0068.jpg,"(89, 948, 533, 1392)"
train,insufficient_through_solder,E:\Xray\Xray\pcb_xray_annotation_workspace\insufficient_through_solder_roi_dataset\train\insufficient_through_solder\insufficient_through_solder_0068_b00_s0_j4.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\insufficient_through_solder\insufficient_through_solder_0068.jpg,"(89, 1055, 533, 1499)"
train,insufficient_through_solder,E:\Xray\Xray\pcb_xray_annotation_workspace\insufficient_through_solder_roi_dataset\train\insufficient_through_solder\insufficient_through_solder_0068_b00_s1_j0.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\insufficient_through_solder\insufficient_through_solder_0068.jpg,"(15, 928, 607, 1520)"
train,insufficient_through_solder,E:\Xray\Xray\pcb_xray_annotation_workspace\insufficient_through_solder_roi_dataset\train\insufficient_through_solder\insufficient_through_solder_0068_b00_s1_j1.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\insufficient_through_solder\insufficient_through_solder_0068.jpg,"(0, 928, 592, 1520)"
train,insufficient_through_solder,E:\Xray\Xray\pcb_xray_annotation_workspace\insufficient_through_solder_roi_dataset\train\insufficient_through_solder\insufficient_through_solder_0068_b00_s1_j2.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\insufficient_through_solder\insufficient_through_solder_0068.jpg,"(86, 928, 678, 1520)"
train,insufficient_through_solder,E:\Xray\Xray\pcb_xray_annotation_workspace\insufficient_through_solder_roi_dataset\train\insufficient_through_solder\insufficient_through_solder_0068_b00_s1_j3.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\insufficient_through_solder\insufficient_through_solder_0068.jpg,"(15, 856, 607, 1448)"
train,insufficient_through_solder,E:\Xray\Xray\pcb_xray_annotation_workspace\insufficient_through_solder_roi_dataset\train\insufficient_through_solder\insufficient_through_solder_0068_b00_s1_j4.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\insufficient_through_solder\insufficient_through_solder_0068.jpg,"(15, 999, 607, 1591)"
train,insufficient_through_solder,E:\Xray\Xray\pcb_xray_annotation_workspace\insufficient_through_solder_roi_dataset\train\insufficient_through_solder\insufficient_through_solder_0068_b00_s2_j0.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\insufficient_through_solder\insufficient_through_solder_0068.jpg,"(0, 854, 740, 1594)"
train,insufficient_through_solder,E:\Xray\Xray\pcb_xray_annotation_workspace\insufficient_through_solder_roi_dataset\train\insufficient_through_solder\insufficient_through_solder_0068_b00_s2_j1.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\insufficient_through_solder\insufficient_through_solder_0068.jpg,"(0, 854, 740, 1594)"
train,insufficient_through_solder,E:\Xray\Xray\pcb_xray_annotation_workspace\insufficient_through_solder_roi_dataset\train\insufficient_through_solder\insufficient_through_solder_0068_b00_s2_j2.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\insufficient_through_solder\insufficient_through_solder_0068.jpg,"(30, 854, 770, 1594)"
train,insufficient_through_solder,E:\Xray\Xray\pcb_xray_annotation_workspace\insufficient_through_solder_roi_dataset\train\insufficient_through_solder\insufficient_through_solder_0068_b00_s2_j3.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\insufficient_through_solder\insufficient_through_solder_0068.jpg,"(0, 765, 740, 1505)"
train,insufficient_through_solder,E:\Xray\Xray\pcb_xray_annotation_workspace\insufficient_through_solder_roi_dataset\train\insufficient_through_solder\insufficient_through_solder_0068_b00_s2_j4.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\insufficient_through_solder\insufficient_through_solder_0068.jpg,"(0, 942, 740, 1682)"
train,insufficient_through_solder,E:\Xray\Xray\pcb_xray_annotation_workspace\insufficient_through_solder_roi_dataset\train\insufficient_through_solder\insufficient_through_solder_0068_b01_s0_j0.jpg,E:\Xray\Xray\pcb_xray_annotation_workspace\images\insufficient_through_solder\insufficient_through_solder_0068.jpg,"(1349, 261, 1781, 693)"
