epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.1096,0.60748,0.77138,1,0.53407,0.000550792,0.000550792,0.000550792
2,32.0059,0.57225,0.78831,1,0.53409,0.00109277,0.00109277,0.00109277
3,47.4429,0.49939,0.71804,1,0.74706,0.00162099,0.00162099,0.00162099
4,62.8964,0.44278,0.84928,1,0.34619,0.00160511,0.00160511,0.00160511
5,78.3964,0.36742,0.84843,1,0.33116,0.00158448,0.00158448,0.00158448
6,93.9337,0.3674,0.87553,1,0.31652,0.00156385,0.00156385,0.00156385
7,109.381,0.3375,0.86876,1,0.49253,0.00154323,0.00154323,0.00154323
8,124.831,0.32751,0.895,1,0.32136,0.0015226,0.0015226,0.0015226
9,140.302,0.30356,0.88146,1,0.28972,0.00150197,0.00150197,0.00150197
10,155.792,0.28888,0.89754,1,0.28733,0.00148134,0.00148134,0.00148134
11,171.307,0.30449,0.88484,1,0.29674,0.00146071,0.00146071,0.00146071
12,186.792,0.28424,0.8967,1,0.25636,0.00144008,0.00144008,0.00144008
13,202.331,0.28282,0.87468,1,0.28882,0.00141945,0.00141945,0.00141945
14,217.789,0.25624,0.89331,1,0.24354,0.00139882,0.00139882,0.00139882
15,233.258,0.27078,0.90771,1,0.22695,0.00137819,0.00137819,0.00137819
16,248.796,0.25374,0.88484,1,0.27509,0.00135756,0.00135756,0.00135756
17,264.288,0.24045,0.91279,1,0.2345,0.00133693,0.00133693,0.00133693
18,279.768,0.23708,0.8061,1,0.48326,0.0013163,0.0013163,0.0013163
19,295.286,0.23348,0.92295,1,0.18905,0.00129568,0.00129568,0.00129568
20,310.776,0.22558,0.86367,1,0.35133,0.00127505,0.00127505,0.00127505
21,326.301,0.22169,0.90686,1,0.24124,0.00125442,0.00125442,0.00125442
22,341.788,0.20491,0.92041,1,0.21601,0.00123379,0.00123379,0.00123379
23,357.324,0.20686,0.92718,1,0.17849,0.00121316,0.00121316,0.00121316
24,372.817,0.21123,0.91787,1,0.19826,0.00119253,0.00119253,0.00119253
25,388.235,0.18802,0.92803,1,0.20166,0.0011719,0.0011719,0.0011719
26,403.618,0.20881,0.87299,1,0.28707,0.00115127,0.00115127,0.00115127
27,419.03,0.18366,0.94835,1,0.17428,0.00113064,0.00113064,0.00113064
28,434.48,0.19554,0.91109,1,0.26105,0.00111001,0.00111001,0.00111001
29,449.911,0.18856,0.9492,1,0.15309,0.00108938,0.00108938,0.00108938
30,465.488,0.17204,0.90008,1,0.23092,0.00106876,0.00106876,0.00106876
31,480.899,0.19064,0.87722,1,0.27523,0.00104813,0.00104813,0.00104813
32,496.356,0.16177,0.92125,1,0.26491,0.0010275,0.0010275,0.0010275
33,511.781,0.15338,0.92125,1,0.22601,0.00100687,0.00100687,0.00100687
34,527.186,0.15951,0.91363,1,0.22214,0.000986239,0.000986239,0.000986239
35,542.585,0.16431,0.92549,1,0.22545,0.00096561,0.00096561,0.00096561
36,558.033,0.16244,0.91025,1,0.25324,0.000944981,0.000944981,0.000944981
37,573.5,0.14577,0.88738,1,0.32928,0.000924352,0.000924352,0.000924352
38,588.98,0.15502,0.89754,1,0.24045,0.000903722,0.000903722,0.000903722
39,604.414,0.13848,0.91279,1,0.26308,0.000883093,0.000883093,0.000883093
40,619.84,0.14791,0.93311,1,0.18954,0.000862464,0.000862464,0.000862464
41,635.244,0.14356,0.94157,1,0.19116,0.000841835,0.000841835,0.000841835
42,650.665,0.13495,0.92125,1,0.26044,0.000821206,0.000821206,0.000821206
43,666.062,0.12626,0.91702,1,0.29624,0.000800577,0.000800577,0.000800577
44,681.502,0.11926,0.87299,1,0.38418,0.000779948,0.000779948,0.000779948
45,696.93,0.13038,0.88823,1,0.41216,0.000759318,0.000759318,0.000759318
46,712.343,0.11759,0.89839,1,0.31802,0.000738689,0.000738689,0.000738689
47,727.839,0.13341,0.90008,1,0.29278,0.00071806,0.00071806,0.00071806
48,743.303,0.13078,0.90093,1,0.39425,0.000697431,0.000697431,0.000697431
49,758.757,0.123,0.93311,1,0.24745,0.000676802,0.000676802,0.000676802
