split,label,patch_path,source_path,crop_x1,crop_y1,crop_x2,crop_y2,defect_x1,defect_y1,defect_x2,defect_y2
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b00_s0_j0.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,325,1063,637,1375,438.78,1167.11,522.45,1271.19
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b00_s0_j1.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,287,1063,599,1375,438.78,1167.11,522.45,1271.19
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b00_s0_j2.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,362,1063,674,1375,438.78,1167.11,522.45,1271.19
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b00_s0_j3.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,325,1026,637,1338,438.78,1167.11,522.45,1271.19
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b00_s0_j4.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,325,1101,637,1413,438.78,1167.11,522.45,1271.19
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b00_s1_j0.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,273,1011,689,1427,438.78,1167.11,522.45,1271.19
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b00_s1_j1.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,223,1011,639,1427,438.78,1167.11,522.45,1271.19
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b00_s1_j2.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,323,1011,739,1427,438.78,1167.11,522.45,1271.19
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b00_s1_j3.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,273,961,689,1377,438.78,1167.11,522.45,1271.19
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b00_s1_j4.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,273,1061,689,1477,438.78,1167.11,522.45,1271.19
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b00_s2_j0.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,221,959,741,1479,438.78,1167.11,522.45,1271.19
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b00_s2_j1.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,158,959,678,1479,438.78,1167.11,522.45,1271.19
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b00_s2_j2.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,283,959,803,1479,438.78,1167.11,522.45,1271.19
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b00_s2_j3.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,221,897,741,1417,438.78,1167.11,522.45,1271.19
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b00_s2_j4.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,221,1022,741,1542,438.78,1167.11,522.45,1271.19
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b01_s0_j0.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,975,1094,1299,1418,1095.92,1201.81,1177.55,1309.97
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b01_s0_j1.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,936,1094,1260,1418,1095.92,1201.81,1177.55,1309.97
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b01_s0_j2.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,1014,1094,1338,1418,1095.92,1201.81,1177.55,1309.97
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b01_s0_j3.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,975,1055,1299,1379,1095.92,1201.81,1177.55,1309.97
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b01_s0_j4.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,975,1133,1299,1457,1095.92,1201.81,1177.55,1309.97
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b01_s1_j0.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,921,1040,1353,1472,1095.92,1201.81,1177.55,1309.97
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b01_s1_j1.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,869,1040,1301,1472,1095.92,1201.81,1177.55,1309.97
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b01_s1_j2.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,973,1040,1405,1472,1095.92,1201.81,1177.55,1309.97
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b01_s1_j3.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,921,988,1353,1420,1095.92,1201.81,1177.55,1309.97
train,void,D:\Xray\pcb_xray_annotation_workspace\void_roi_dataset\train\void\void_0063_b01_s1_j4.jpg,D:\Xray\pcb_xray_annotation_workspace\images\void\void_0063.jpg,921,1092,1353,1524,1095.92,1201.81,1177.55,1309.97
