epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.47562,0.50761,0.74225,1,0.65358,0.000552319,0.000552319,0.000552319
2,16.3128,0.43681,0.82055,1,0.41446,0.00109427,0.00109427,0.00109427
3,22.6634,0.40913,0.8279,1,0.49464,0.00162248,0.00162248,0.00162248
4,28.9816,0.38638,0.83442,1,0.39326,0.00160511,0.00160511,0.00160511
5,35.3076,0.34459,0.81485,1,0.43701,0.00158448,0.00158448,0.00158448
6,41.5668,0.34977,0.65824,1,0.60694,0.00156385,0.00156385,0.00156385
7,47.8271,0.33365,0.84421,1,0.379,0.00154323,0.00154323,0.00154323
8,54.1947,0.32086,0.88744,1,0.33999,0.0015226,0.0015226,0.0015226
9,60.4039,0.29398,0.87928,1,0.30192,0.00150197,0.00150197,0.00150197
10,66.6503,0.27769,0.91599,1,0.24181,0.00148134,0.00148134,0.00148134
11,72.9392,0.26262,0.8956,1,0.26578,0.00146071,0.00146071,0.00146071
12,79.2158,0.26513,0.82708,1,0.36385,0.00144008,0.00144008,0.00144008
13,85.5348,0.22801,0.9168,1,0.21847,0.00141945,0.00141945,0.00141945
14,91.8667,0.22417,0.84829,1,0.72269,0.00139882,0.00139882,0.00139882
15,98.2098,0.21126,0.87928,1,0.25798,0.00137819,0.00137819,0.00137819
16,104.534,0.20148,0.81811,1,0.66965,0.00135756,0.00135756,0.00135756
17,110.858,0.19668,0.95024,1,0.14692,0.00133693,0.00133693,0.00133693
18,117.195,0.17659,0.89152,1,0.41426,0.0013163,0.0013163,0.0013163
19,123.517,0.17559,0.9478,1,0.17304,0.00129568,0.00129568,0.00129568
20,130.053,0.14877,0.81485,1,0.92168,0.00127505,0.00127505,0.00127505
21,136.548,0.17128,0.87847,1,0.29207,0.00125442,0.00125442,0.00125442
22,143.108,0.15662,0.9168,1,0.24944,0.00123379,0.00123379,0.00123379
23,149.659,0.14574,0.90538,1,0.2557,0.00121316,0.00121316,0.00121316
24,156.135,0.14199,0.9584,1,0.13998,0.00119253,0.00119253,0.00119253
25,162.583,0.13202,0.83687,1,0.88334,0.0011719,0.0011719,0.0011719
26,168.952,0.13641,0.93475,1,0.21514,0.00115127,0.00115127,0.00115127
27,175.291,0.14662,0.95677,1,0.14562,0.00113064,0.00113064,0.00113064
28,181.688,0.13612,0.95269,1,0.14102,0.00111001,0.00111001,0.00111001
29,188.08,0.12706,0.9323,1,0.22051,0.00108938,0.00108938,0.00108938
30,194.448,0.11722,0.95024,1,0.12615,0.00106876,0.00106876,0.00106876
31,200.775,0.11081,0.95188,1,0.14229,0.00104813,0.00104813,0.00104813
32,207.206,0.10566,0.9478,1,0.13827,0.0010275,0.0010275,0.0010275
33,213.596,0.11957,0.91925,1,0.22371,0.00100687,0.00100687,0.00100687
34,219.961,0.12413,0.94943,1,0.13595,0.000986239,0.000986239,0.000986239
35,226.364,0.10252,0.86949,1,0.33635,0.00096561,0.00096561,0.00096561
36,232.734,0.11632,0.88418,1,0.22479,0.000944981,0.000944981,0.000944981
37,239.091,0.10339,0.94943,1,0.15304,0.000924352,0.000924352,0.000924352
38,245.492,0.09368,0.93883,1,0.14513,0.000903722,0.000903722,0.000903722
39,251.857,0.0989,0.94535,1,0.13902,0.000883093,0.000883093,0.000883093
40,258.25,0.0955,0.96085,1,0.10861,0.000862464,0.000862464,0.000862464
41,264.644,0.09854,0.95188,1,0.10514,0.000841835,0.000841835,0.000841835
42,270.973,0.08988,0.94372,1,0.13588,0.000821206,0.000821206,0.000821206
43,277.375,0.08998,0.93148,1,0.17776,0.000800577,0.000800577,0.000800577
44,283.732,0.08729,0.93148,1,0.15888,0.000779948,0.000779948,0.000779948
45,290.141,0.08323,0.91028,1,0.26567,0.000759318,0.000759318,0.000759318
46,296.574,0.08805,0.95188,1,0.13466,0.000738689,0.000738689,0.000738689
47,302.965,0.08066,0.91109,1,0.21456,0.00071806,0.00071806,0.00071806
48,309.401,0.07534,0.95024,1,0.13395,0.000697431,0.000697431,0.000697431
49,315.819,0.12099,0.93393,1,0.19979,0.000676802,0.000676802,0.000676802
50,322.253,0.08788,0.95595,1,0.11662,0.000656173,0.000656173,0.000656173
51,328.68,0.07403,0.91762,1,0.22133,0.000635544,0.000635544,0.000635544
52,335.11,0.07134,0.92741,1,0.16994,0.000614915,0.000614915,0.000614915
53,341.509,0.06722,0.94861,1,0.1305,0.000594286,0.000594286,0.000594286
54,347.932,0.0676,0.9584,1,0.12587,0.000573656,0.000573656,0.000573656
55,354.359,0.07095,0.95432,1,0.12307,0.000553027,0.000553027,0.000553027
56,360.757,0.07079,0.95024,1,0.13053,0.000532398,0.000532398,0.000532398
57,367.155,0.06048,0.96411,1,0.1187,0.000511769,0.000511769,0.000511769
58,373.572,0.10383,0.94861,1,0.12111,0.00049114,0.00049114,0.00049114
59,379.982,0.06358,0.94372,1,0.15571,0.000470511,0.000470511,0.000470511
60,386.392,0.06378,0.92577,1,0.18635,0.000449882,0.000449882,0.000449882
61,392.764,0.06533,0.93964,1,0.16674,0.000429253,0.000429253,0.000429253
62,399.135,0.05362,0.94046,1,0.16895,0.000408623,0.000408623,0.000408623
63,405.552,0.05186,0.93883,1,0.17079,0.000387994,0.000387994,0.000387994
