epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.0675,2.05387,12.8368,1.62812,0.00061,0.15,0.00059,0.00011,1.70687,31.3004,1.52943,0.000651515,0.000651515,0.000651515
2,57.3898,2.13208,11.0272,1.66624,0.00054,0.13333,0.00012,3e-05,1.95191,31.9189,1.71262,0.00129643,0.00129643,0.00129643
3,62.8691,2.24237,18.3418,1.69821,0.00075,0.18333,0.00033,0.00011,1.91132,29.9936,1.8152,0.00191935,0.00191935,0.00191935
4,68.0962,2.28625,9.71448,1.79969,0.00061,0.15,0.00012,3e-05,1.95363,28.5375,1.77871,0.001901,0.001901,0.001901
5,74.5772,2.26902,11.6588,1.65734,0.00102,0.25,0.0003,0.0001,1.99202,390.834,1.848,0.001868,0.001868,0.001868
6,80.6524,2.08244,11.8924,1.62961,0.00102,0.25,0.00038,9e-05,1.8662,20.904,1.62414,0.001835,0.001835,0.001835
7,86.8495,2.12591,10.7649,1.65253,0.00061,0.15,0.00013,2e-05,2.11119,18.9902,1.82632,0.001802,0.001802,0.001802
8,93.0229,2.14668,8.36775,1.66917,7e-05,0.01667,0,0,2.67363,49.141,2.59629,0.001769,0.001769,0.001769
9,99.2009,2.29127,6.35784,1.82385,0.00177,0.43333,0.00102,0.00021,1.90571,16.908,1.5291,0.001736,0.001736,0.001736
10,105.418,2.27284,7.25001,1.66608,0.00082,0.2,0.00061,0.00012,1.99762,15.8636,1.60163,0.001703,0.001703,0.001703
11,111.623,2.06617,7.12995,1.67607,0.00177,0.43333,0.00152,0.00043,1.83072,14.6908,1.51741,0.00167,0.00167,0.00167
12,117.807,2.09185,6.76552,1.6515,0.00156,0.38333,0.00151,0.00033,1.77129,13.5898,1.54925,0.001637,0.001637,0.001637
13,123.93,2.04766,8.88241,1.62496,0.00075,0.18333,0.0004,0.00016,1.89862,13.5053,1.62774,0.001604,0.001604,0.001604
14,130.064,2.0762,6.14267,1.60052,0.0015,0.36667,0.00433,0.00118,1.82185,11.7809,1.45157,0.001571,0.001571,0.001571
15,136.13,1.87891,5.95506,1.52093,0.00238,0.58333,0.02142,0.00716,1.74824,11.8389,1.48344,0.001538,0.001538,0.001538
16,142.213,1.96579,5.82555,1.58325,0.00279,0.68333,0.02001,0.00759,1.79489,11.2087,1.45837,0.001505,0.001505,0.001505
17,148.44,1.8522,5.90869,1.43903,0.00204,0.5,0.02047,0.00692,1.74388,10.4567,1.43336,0.001472,0.001472,0.001472
18,154.571,1.95553,6.00546,1.57125,0.21777,0.03333,0.03633,0.01127,1.75032,9.30151,1.45328,0.001439,0.001439,0.001439
19,160.498,1.88075,4.95404,1.51362,0.09793,0.03333,0.03309,0.00976,1.74332,8.46712,1.47533,0.001406,0.001406,0.001406
20,166.742,1.91437,4.26717,1.50334,0.2036,0.05,0.04964,0.01517,1.7427,9.59332,1.47107,0.001373,0.001373,0.001373
21,173.071,2.06509,4.40588,1.63109,0.09558,0.03333,0.04156,0.01282,1.72205,9.37754,1.50434,0.00134,0.00134,0.00134
22,179.094,1.92207,4.78459,1.52158,0.36918,0.05,0.03709,0.0123,1.74526,7.9785,1.54238,0.001307,0.001307,0.001307
23,185.134,1.82338,5.76532,1.41584,0.36455,0.05,0.03778,0.01174,1.82888,8.03565,1.59051,0.001274,0.001274,0.001274
24,191.553,1.84382,5.13521,1.6157,0.32038,0.03333,0.06534,0.02825,1.74682,8.33363,1.53506,0.001241,0.001241,0.001241
25,195.882,1.78835,4.19751,1.49897,0.4813,0.05,0.07861,0.03584,1.67861,8.68391,1.41673,0.001208,0.001208,0.001208
26,201.577,1.98259,4.2765,1.49519,0.35533,0.05,0.05946,0.01848,1.66502,8.23916,1.43163,0.001175,0.001175,0.001175
27,205.996,1.80387,5.58387,1.41643,0.25292,0.05,0.05673,0.01942,1.68726,7.19017,1.4647,0.001142,0.001142,0.001142
28,210.422,1.76577,3.87826,1.37499,0.19866,0.05,0.08399,0.02672,1.6115,6.69436,1.41743,0.001109,0.001109,0.001109
29,214.775,1.82127,3.74129,1.45093,0.10186,0.06667,0.06005,0.02334,1.65879,6.65346,1.44027,0.001076,0.001076,0.001076
30,219.209,1.7835,4.77148,1.48157,0.09906,0.08333,0.07373,0.02729,1.80713,6.81921,1.51919,0.001043,0.001043,0.001043
31,223.653,1.75396,3.99636,1.386,0.09449,0.08333,0.06257,0.02573,1.78964,7.02147,1.49575,0.00101,0.00101,0.00101
32,228.245,1.79197,4.20851,1.4166,0.06993,0.10152,0.06068,0.0285,1.62252,8.02864,1.3903,0.000977,0.000977,0.000977
33,232.79,1.80491,3.34552,1.43878,0.11058,0.16667,0.08544,0.04378,1.61706,6.95251,1.39208,0.000944,0.000944,0.000944
34,237.082,1.802,3.27494,1.45409,0.21457,0.21667,0.12126,0.0692,1.63246,8.18551,1.39894,0.000911,0.000911,0.000911
35,241.357,1.7537,3.78949,1.45812,0.20859,0.25924,0.10728,0.04991,1.69517,6.69405,1.46052,0.000878,0.000878,0.000878
36,245.723,1.83509,3.817,1.46856,0.11608,0.13333,0.08756,0.03762,1.65871,6.14361,1.45507,0.000845,0.000845,0.000845
37,250.035,1.70985,3.47296,1.42731,0.13668,0.13333,0.10588,0.04206,1.63624,5.807,1.44009,0.000812,0.000812,0.000812
38,254.313,1.6038,4.19774,1.32451,0.16371,0.15,0.12772,0.05441,1.68101,6.07123,1.48264,0.000779,0.000779,0.000779
39,258.629,1.8173,3.11553,1.43741,0.20335,0.16173,0.1416,0.0548,1.68212,5.92651,1.50347,0.000746,0.000746,0.000746
40,262.918,1.72651,3.58678,1.4314,0.18334,0.15,0.13216,0.04946,1.70352,5.86231,1.49515,0.000713,0.000713,0.000713
41,267.227,1.59685,2.91177,1.31209,0.18144,0.2,0.1357,0.05958,1.70745,5.79956,1.47443,0.00068,0.00068,0.00068
42,271.461,1.5187,4.49023,1.2445,0.19718,0.25,0.15032,0.06466,1.65711,5.88335,1.43461,0.000647,0.000647,0.000647
43,275.766,1.63934,2.82281,1.37261,0.25369,0.23333,0.16376,0.06505,1.66455,5.84458,1.43772,0.000614,0.000614,0.000614
44,280.071,1.74154,3.31149,1.50385,0.26208,0.23333,0.16954,0.05486,1.76021,5.80707,1.47644,0.000581,0.000581,0.000581
45,284.401,1.66473,3.0404,1.3781,0.24012,0.23333,0.1508,0.05727,1.72848,5.53938,1.44051,0.000548,0.000548,0.000548
46,288.679,1.64466,3.68399,1.36506,0.18235,0.28333,0.13887,0.0681,1.67403,5.56001,1.4127,0.000515,0.000515,0.000515
47,292.93,1.44698,3.78039,1.2457,0.22487,0.23333,0.12718,0.06514,1.65046,5.58015,1.44324,0.000482,0.000482,0.000482
48,297.256,1.67534,3.35598,1.42469,0.25431,0.21667,0.12588,0.06265,1.62714,5.69941,1.45654,0.000449,0.000449,0.000449
49,301.573,1.45996,3.61773,1.25472,0.17691,0.2,0.12475,0.05991,1.61989,5.7607,1.45587,0.000416,0.000416,0.000416
